,paper_id,section,chunk_id,text,title,url,assigned_phase,year
0,PMC10144393,abstract,0,"fungi biofilms have been found growing on spacecraft surfaces such as windows, piping, cables, etc. the contamination of these surfaces with fungi, although undesirable, is highly difficult to avoid. while several biofilm forming species, including penicillium rubens, have been identified in spacecraft, the effect of microgravity on fungal biofilm formation is unknown. this study sent seven material surfaces ( stainless steel 316, aluminum alloy, titanium alloy, carbon fiber, quartz, silicone, and nanograss ) inoculated with spores of p. rubens to the international space station and allowed biofilms to form for 10, 15, and 20 days to understand the effects of microgravity on biofilm morphology and growth. in general, microgravity did not induce changes in the shape of biofilms, nor did it affect growth in terms of biomass, thickness, and surface area coverage. however, microgravity increased or decreased biofilm formation in some cases, and this was incubation - time - and material - dependent. nanograss was the material with significantly less biofilm formation, both in microgravity and on earth, and it could potentially be interfering with hyphal adhesion and / or spore germination. additionally, a decrease in biofilm formation at 20 days, potentially due to nutrient depletion, was seen in some space and earth samples and was material - dependent.",Morphology of Penicillium rubens Biofilms Formed in Space,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10144393/,Orbit,2023
1,PMC10233975,abstract,0,"background several investigations on the microbial diversity and functional properties of the international space station ( iss ) environment were carried out to understand the influence of spaceflight conditions on the microbial population. however, metagenome - assembled genomes ( mags ) of iss samples are yet to be generated and subjected to various genomic analyses, including phylogenetic affiliation, predicted functional pathways, antimicrobial resistance, and virulence characteristics. results in total, 46 mags were assembled from 21 iss environmental metagenomes, in which metaspades yielded 20 mags and metawrap generated 26 mags. among 46 mags retrieved, 18 bacterial species were identified, including one novel genus / species combination ( kalamiella piersonii ) and one novel bacterial species ( methylobacterium ajmalii ). in addition, four bins exhibited fungal genomes ; this is the first - time fungal genomes were assembled from iss metagenomes. phylogenetic analyses of five bacterial species showed iss - specific evolution. the genes pertaining to cell membranes, such as transmembrane transport, cell wall organization, and regulation of cell shape, were enriched. variations in the antimicrobial - resistant ( amr ) and virulence genes of the selected 20 mags were characterized to predict the ecology and evolution of biosafety level ( bsl ) 2 microorganisms in space. since microbial virulence increases in microgravity, amr gene sequences of mags were compared with genomes of respective iss isolates and corresponding type strains. among these 20 mags characterized, amr genes were more prevalent in the enterobacter bugandensis mag, which has been predominantly isolated from clinical samples. mags were further used to analyze if genes involved in amr and biofilm formation of viable microbes in iss have variation due to generational evolution in microgravity and radiation pressure. conclusions comparative analyses of mags and whole - genome sequences of related iss isolates and their type strains were characterized to understand the variation related to the microbial evolution under microgravity. the pantoea / kalamiella strains have the maximum single - nucleotide polymorphisms found within the iss strains examined. this may suggest that pantoea / kalamiella strains are much more subjective to microgravity changes. the reconstructed genomes will enable researchers to study the evolution of genomes under microgravity and low - dose irradiation compared to the evolution of microbes here on earth. video",Characterization of metagenome-assembled genomes from the International Space Station,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10233975/,Orbit,2023
2,PMC10233975,abstract,1,##miella strains are much more subjective to microgravity changes. the reconstructed genomes will enable researchers to study the evolution of genomes under microgravity and low - dose irradiation compared to the evolution of microbes here on earth. video abstract supplementary information the online version contains supplementary material available at 10. 1186 / s40168 - 023 - 01545 - 7.,Characterization of metagenome-assembled genomes from the International Space Station,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10233975/,Orbit,2023
3,PMC10233975,introduction,0,"introduction since the publication of the first metagenome - assembled genome ( mag ) in 2004 [ 1 ], mags have been used to confirm genomic data for taxonomic identification of uncultivated microorganisms, metabolic profiling, microbiome dynamics, and host - microbe relationships [ 2 ]. when a mag is assembled, annotation and interpretation of genes are possible, allowing researchers to better understand the metabolic potential of the microbe, including its potential resistance to antibiotics, interactions with other microbes in the microbial community, and association with a host [ 3 ]. mags have been successfully used to discover uncultivated species [ 4 ], candidatus organisms like candidatus amarolinea aalborgensis gen. nov., sp. nov. [ 5 ], and novel genera like spiribacter [ 6 ] and kalamiella [ 7 ]. mags have also been used to recover genomic clusters of secondary metabolites [ 8 ], genetic mobility [ 4 ], metabolic pathways [ 9 ], and in situ replication [ 10 ]. projects retrieving thousands of mags have also been documented to understand yet - to - be cultured microbiomes of cow rumens and other environmental samples [ 11 ]. in addition, mags have revealed new microbial phyla, which have expanded the tree of life [ 12 ]. lowering sequencing cost, curated data availability in public database, and advances in computational biology have made assembling mags from complex and extreme environments easy. a higher number of reference genomes makes the binning easier and more reliable. multiple best practices are available to construct accurate and complete genomes from metagenomes, but high - quality mags are still relatively rare. most mags reported in many mag - related papers have completeness levels between 50 and 60 % [ 13 ]. recently, mags generated from international space station ( iss ) environmental metagenomes paved a way to describe a novel genus and species, kalamiella piersonii [ 7 ]. we have retrieved four k. piersonii mags ( 100 % genome sequence identity ) from iss environmental metagenomes that allowed us to identify a cultivated isolate archived from the same samples using gene - specific assays [ 7 ]. this “ genome to phenome ” approach enabled the differentiation of closely related genera pantoea from kalamiella and facilitated the isolation of several iss strains ( n = 7 ) that were archived and previously unidentified [ 7",Characterization of metagenome-assembled genomes from the International Space Station,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10233975/,Orbit,2023
4,PMC10233975,introduction,1,"assays [ 7 ]. this “ genome to phenome ” approach enabled the differentiation of closely related genera pantoea from kalamiella and facilitated the isolation of several iss strains ( n = 7 ) that were archived and previously unidentified [ 7 ]. furthermore, the use of mags and whole - genome sequences ( wgs ) of biosafety level 2 ( bsl - 2 ) species, klebsiella pneumoniae, isolated from three consecutive samplings of the iss at eight defined locations made it possible to track the source of the original bsl - 2 strain and understand the succession, persistence, and spread of this opportunistic pathogen detected in the iss [ 14 ]. the objectives of this study were to retrieve near full - length genomes from metagenomes generated from iss environmental samples and perform in - depth functional and phylogenetic analyses. among 46 mags generated during this study, functional analyses such as antimicrobial resistance ( amr ), virulence characteristic, and metabolic traits / stress responses were carried out for 20 prokaryotic mags. in addition to the prokaryotic mags ( ~ 85 % completeness ), this is the first - time eukaryotic mags ( ~ 50 % completeness ) were also generated from iss metagenomes using the co - assembly strategy.",Characterization of metagenome-assembled genomes from the International Space Station,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10233975/,Orbit,2023
5,PMC10233975,results,0,"results in total, 46 mags were assembled from 21 iss environmental metagenomes, in which metaspades yielded 20 mags and metawrap generated 26 mags. among 46 mags retrieved, 18 bacterial species were identified, including one novel genus / species combination ( kalamiella piersonii ) and one novel bacterial species ( methylobacterium ajmalii ). in addition, four bins exhibited fungal genomes ; this is the first - time fungal genomes were assembled from iss metagenomes. phylogenetic analyses of five bacterial species showed iss - specific evolution. the genes pertaining to cell membranes, such as transmembrane transport, cell wall organization, and regulation of cell shape, were enriched. variations in the antimicrobial - resistant ( amr ) and virulence genes of the selected 20 mags were characterized to predict the ecology and evolution of biosafety level ( bsl ) 2 microorganisms in space. since microbial virulence increases in microgravity, amr gene sequences of mags were compared with genomes of respective iss isolates and corresponding type strains. among these 20 mags characterized, amr genes were more prevalent in the enterobacter bugandensis mag, which has been predominantly isolated from clinical samples. mags were further used to analyze if genes involved in amr and biofilm formation of viable microbes in iss have variation due to generational evolution in microgravity and radiation pressure.",Characterization of metagenome-assembled genomes from the International Space Station,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10233975/,Orbit,2023
6,PMC10233975,conclusion,0,"conclusion in summary, good quality bacterial and fungal mags were generated from iss environmental samples, and functional properties were predicted. furthermore, it was possible to describe novel microbial ( two bacterial and one yeast ) species via the “ metagenome to phenome ” approach. the monophyletic phylogeny exhibited by the iss genomes ( both isolates and mags ) suggested that they shared a single common ancestor. the molecules pertaining to the cell membranes, such as transmembrane transport, cell wall organization, and regulation of cell shape, were in high frequency in iss genomes demonstrating evidence for iss - specific bacterial evolution. the common gene - based resistance phenomenon noticed in this study suggests that snp changes in mags and iss genomes might be an adaptation strategy in amr and biofilm formation in microbes. similarly, variations found in the amr and virulence genes enabled the prediction of the ecology and evolution of microorganisms in space. the maximum snps characterized for the iss pantoea / kalamiella strains suggested that enterobacterial species are much more subjective to microgravity changes. however, fixation of environmental samples in space for rnaseq approach and / or in situ sequencing in space are warranted to confirm variation related to microbial evolution under microgravity. more studies are needed to unearth whether snps seen in iss mags are due to generational evolution in microgravity and radiation pressure.",Characterization of metagenome-assembled genomes from the International Space Station,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10233975/,Orbit,2023
7,PMC10284894,abstract,0,"with the construction of the international space station, humans have been continuously living and working in space for 22 years. microbial studies in space and other extreme environments on earth have shown the ability for bacteria and fungi to adapt and change compared to “ normal ” conditions. some of these changes, like biofilm formation, can impact astronaut health and spacecraft integrity in a negative way, while others, such as a propensity for plastic degradation, can promote self - sufficiency and sustainability in space. with the next era of space exploration upon us, which will see crewed missions to the moon and mars in the next 10 years, incorporating microbiology research into planning, decision - making, and mission design will be paramount to ensuring success of these long - duration missions. these can include astronaut microbiome studies to protect against infections, immune system dysfunction and bone deterioration, or biological in situ resource utilization ( bisru ) studies that incorporate microbes to act as radiation shields, create electricity and establish robust plant habitats for fresh food and recycling of waste. in this review, information will be presented on the beneficial use of microbes in bioregenerative life support systems, their applicability to bisru, and their capability to be genetically engineered for biotechnological space applications. in addition, we discuss the negative effect microbes and microbial communities may have on long - duration space travel and provide mitigation strategies to reduce their impact. utilizing the benefits of microbes, while understanding their limitations, will help us explore deeper into space and develop sustainable human habitats on the moon, mars and beyond.",Microbial applications for sustainable space exploration beyond low Earth orbit,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10284894/,Orbit,2023
8,PMC10284894,introduction,0,"introduction the national aeronautics and space administration ( nasa ) has pledged to return humans to the moon in the next two years and land the first humans on mars by 2033. the journey beyond low earth orbit ( leo ) will expand human civilization, enable future space settlements, provide scientific knowledge of the evolution of our planet and the solar system, and create global partnerships in the quest for further space exploration 1, 2. under the artemis plan, a crewed lunar flyby is scheduled for 2024 ( artemis ii ), followed by a lunar landing in 2025 ( artemis iii ) — the first since the end of the apollo era in 1972, and eventually a sustainable lunar presence by the end of this decade 3. critical to the success of the artemis program will be gateway, an orbiting platform where astronauts will live and conduct research, while providing support for lengthy expeditions on the lunar surface. the artemis program will establish a base camp at the lunar south pole that will serve as a steppingstone for human missions to mars. research and development at the lunar base will act as prototypes for these future mars missions, where nasa can establish best practices for long - term human exploration in these adverse extraterrestrial environments 4. unlike the operation of the international space station ( iss ), which is regularly resupplied from earth within hours after launch, deep space missions will require self - sufficiency and sustainability independent of earth. this will involve utilization of renewable resources, recycling of waste, power generation, and a continuous supply of food, water, and oxygen over a prolonged / indefinite period. the moon is the shortest distance beyond leo with a deep space environment offering unique research opportunities to be conducted under the artemis program. the lunar orbiter gateway will function similarly to the iss utilizing a power and propulsion element that will use solar energy to propel and power the spacecraft, a habitation and logistics outpost that will serve as the living quarters and research workspace, and docking ports for spacecraft such as orion, that will be the first of its kind to transport astronauts to and from deep space 5, 6. the iss and earth - orbiting satellites capitalize on solar energy as a renewable resource for power, however in more distant outposts such as mars, other factors like distance from the sun, angle, and weather ( i. e., dust storms ) affect the efficiency of energy provided by the solar arrays 7. such was the case with nasa ’ s insight mission, where a recent martian dust storm led to accumulated dust on the solar panels preventing adequate sunlight from reaching them,",Microbial applications for sustainable space exploration beyond low Earth orbit,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10284894/,Orbit,2023
9,PMC10284894,introduction,1,"e., dust storms ) affect the efficiency of energy provided by the solar arrays 7. such was the case with nasa ’ s insight mission, where a recent martian dust storm led to accumulated dust on the solar panels preventing adequate sunlight from reaching them, forcing the lander into battery - conserving “ safe mode ” 8. similar dust coverage issues were experienced during apollo missions due to electrically charged lunar dust adhering to solar panels on the lunar lander 9, 10. resupply cargo, like those that are frequently sent to the iss, is costly, and may not be feasible for long - duration space missions ( it takes ~ 7 months to get to mars ). thus, self - sustainability in food and oxygen production on extraterrestrial outposts, such as on the moon and mars, is crucial 11. in addition, communication delays between earth and mars can range from 5 to 20 min depending on the position of the planets 12. lack of cargo resupply missions and communication delays can be detrimental to human health - related emergencies making it imperative for crew members to be self - sufficient in health risk prevention and treatment. therefore, solutions to address limited resources and human health risks that can be feasibly implemented in deep space must be established prior to the artemis and mars exploration missions. this could be achieved through the exploitation and engineering of microbes important to human health 13 – 16, agriculture 17, food production 18 – 20, the ecosystem 21 – 25, and the built environment 26, 27. figure 1 provides an overview of the various roles microbes could play in deep space exploration. in this review, we will examine some key considerations for planning crewed space missions that allow for self - sufficiency and sustainability and specifically the role that microbes can play in achieving these goals. we will also discuss the possible detrimental effects of microbes that could derail a mission, such as biofouling and increased pathogenicity, and suggest mitigation strategies to help alleviate some of these concerns. fig. 1 summary of microbial impact during long - duration space missions. space exploration can benefit from the use of microbes in a variety of applications including incorporation into biological life support systems ( blss ), in situ resource utilization beyond leo, and astronaut therapeutics. however, increased pathogenicity and biofilm formation during spaceflight could threaten astronaut health and spacecraft integrity so mitigation strategies will be needed to prevent such hazards. microbial applications related to health ( purple ), renewable resources ( green ) or both (",Microbial applications for sustainable space exploration beyond low Earth orbit,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10284894/,Orbit,2023
